name,lat,lon,country
Toronto,43.7417,-79.3733,CA
Montréal,45.5089,-73.5617,CA
Vancouver,49.25,-123.1,CA
Calgary,51.05,-114.0667,CA
Edmonton,53.5344,-113.4903,CA
Ottawa,45.4247,-75.695,CA
Winnipeg,49.8844,-97.1464,CA
Quebec City,46.8139,-71.2081,CA
Hamilton,43.2567,-79.8692,CA
Mississauga,43.6,-79.65,CA
Brampton,43.6833,-79.7667,CA
Surrey,49.19,-122.8489,CA
Kitchener,43.4186,-80.4728,CA
Halifax,44.6475,-63.5906,CA
Laval,45.5833,-73.75,CA
London,42.9836,-81.2497,CA
Victoria,48.4283,-123.3647,CA
Markham,43.8767,-79.2633,CA
Oshawa,43.9,-78.85,CA
Vaughan,43.8333,-79.5,CA
Windsor,42.2833,-83,CA
Gatineau,45.4833,-75.65,CA
Saskatoon,52.1333,-106.6833,CA
Longueuil,45.5333,-73.5167,CA
Burnaby,49.2667,-122.9667,CA
St. Catharines,43.1833,-79.2333,CA
Regina,50.4547,-104.6067,CA
Oakville,43.45,-79.6833,CA
Richmond,49.1667,-123.1333,CA
Richmond Hill,43.8667,-79.4333,CA
Burlington,43.3167,-79.8,CA
St. John's,47.4817,-52.7971,CA
Kelowna,49.8881,-119.4956,CA
Sherbrooke,45.4,-71.9,CA
Sudbury,46.49,-81.01,CA
Barrie,44.3711,-79.6769,CA
Abbotsford,49.05,-122.3167,CA
Lévis,46.8,-71.1833,CA
Coquitlam,49.2839,-122.7919,CA
Saguenay,48.4167,-71.0667,CA
Guelph,43.55,-80.25,CA
Trois-Rivières,46.35,-72.55,CA
Whitby,43.8833,-78.9417,CA
Cambridge,43.3972,-80.3114,CA
Milton,43.5083,-79.8833,CA
Ajax,43.8583,-79.0364,CA
Waterloo,43.4667,-80.5167,CA
Terrebonne,45.7,-73.6333,CA
Moncton,46.1328,-64.7714,CA
Saanich,48.484,-123.381,CA
White Rock,49.025,-122.8028,CA
Thunder Bay,48.3822,-89.2461,CA
Delta,49.0847,-123.0586,CA
Nanaimo,49.1642,-123.9364,CA
Brantford,43.1667,-80.25,CA
Chatham,42.4229,-82.1324,CA
Clarington,43.935,-78.6083,CA
Saint-Jérôme,45.7833,-74,CA
Red Deer,52.2681,-113.8111,CA
Pickering,43.8354,-79.089,CA
Lethbridge,49.6942,-112.8328,CA
Kamloops,50.6761,-120.3408,CA
Saint-Jean-sur-Richelieu,45.3167,-73.2667,CA
Niagara Falls,43.06,-79.1067,CA
Cape Breton,46.1389,-60.1931,CA
Chilliwack,49.1577,-121.9509,CA
Brossard,45.4667,-73.45,CA
Maple Ridge,49.2167,-122.6,CA
Newmarket,44.05,-79.4667,CA
Repentigny,45.7333,-73.4667,CA
Peterborough,44.3,-78.3167,CA
Drummondville,45.8833,-72.4833,CA
Kawartha Lakes,44.35,-78.75,CA
New Westminster,49.2069,-122.9111,CA
Prince George,53.9169,-122.7494,CA
Caledon,43.8667,-79.8667,CA
Châteauguay,45.38,-73.75,CA
Belleville,44.1667,-77.3833,CA
Airdrie,51.2917,-114.0144,CA
Sarnia,42.9994,-82.3089,CA
Wood Buffalo,57.6042,-111.3284,CA
Sault Ste. Marie,46.5333,-84.35,CA
Saint John,45.2806,-66.0761,CA
Welland,42.9833,-79.2333,CA
Granby,45.4,-72.7333,CA
St. Albert,53.6303,-113.6258,CA
Fredericton,45.9636,-66.6431,CA
Grande Prairie,55.1708,-118.7947,CA
Medicine Hat,50.0417,-110.6775,CA
Halton Hills,43.63,-79.95,CA
Aurora,44,-79.4667,CA
Port Coquitlam,49.2625,-122.7811,CA
Mirabel,45.65,-74.0833,CA
Blainville,45.67,-73.88,CA
Lac-Brome,45.2167,-72.5167,CA
North Vancouver,49.32019672,-123.0699402,CA
Saint-Hyacinthe,45.6167,-72.95,CA
Beloeil,45.5667,-73.2,CA
North Bay,46.3,-79.45,CA
Charlottetown,46.2403,-63.1347,CA
Vernon,50.267,-119.272,CA
Brandon,49.8483,-99.95,CA
Mascouche,45.75,-73.6,CA
Stouffville,43.9667,-79.25,CA
Shawinigan,46.5667,-72.75,CA
Joliette,46.0167,-73.45,CA
Rimouski,48.45,-68.53,CA
Courtenay,49.6878,-124.9944,CA
Dollard-des-Ormeaux,45.4833,-73.8167,CA
Cornwall,45.0275,-74.74,CA
Victoriaville,46.05,-71.9667,CA
Georgina,44.3,-79.4333,CA
Woodstock,43.1306,-80.7467,CA
Langford Station,48.4506,-123.5058,CA
